"name","label","geometry","site"
170,170,"43.9718 4.2861","ripisylves_gardon"
171,171,"43.9639 4.2857","ripisylves_gardon"
172,172,"43.9389 4.2916","ripisylves_gardon"
173,173,"43.9378 4.2929","ripisylves_gardon"
174,174,"43.9620 4.2603","ripisylves_gardon"
175,175,"43.9677 4.2476","ripisylves_gardon"
176,176,"43.9635 4.2586","ripisylves_gardon"
177,177,"43.9684 4.2449","ripisylves_gardon"
178,178,"43.9822 4.2130","ripisylves_gardon"
179,179,"43.9825 4.2126","ripisylves_gardon"
180,180,"43.9832 4.2134","ripisylves_gardon"
181,181,"43.9775 4.2163","ripisylves_gardon"
182,182,"43.9776 4.2266","ripisylves_gardon"
183,183,"43.9767 4.2275","ripisylves_gardon"
184,184,"43.9552 4.2870","ripisylves_gardon"
185,185,"43.9554 4.2855","ripisylves_gardon"
186,186,"44.0195 4.2101","ripisylves_gardon"
187,187,"44.0233 4.2201","ripisylves_gardon"
188,188,"44.0231 4.2197","ripisylves_gardon"
189,189,"43.9343 4.3006","ripisylves_gardon"
190,190,"43.9343 4.2945","ripisylves_gardon"
191,191,"43.9374 4.5562","ripisylves_gardon"
192,192,"43.9367 4.5568","ripisylves_gardon"
193,193,"43.9345 4.5578","ripisylves_gardon"
194,194,"43.9304 4.5639","ripisylves_gardon"
195,195,"43.9266 4.5698","ripisylves_gardon"
196,196,"43.9266 4.5757","ripisylves_gardon"
197,197,"43.9264 4.5789","ripisylves_gardon"
198,198,"43.9266 4.5782","ripisylves_gardon"
199,199,"43.9264 4.5796","ripisylves_gardon"
200,200,"43.9249 4.5796","ripisylves_gardon"
201,201,"43.9253 4.5778","ripisylves_gardon"
202,202,"43.9227 4.5794","ripisylves_gardon"
203,203,"43.9259 4.5786","ripisylves_gardon"
204,204,"43.9323 4.5607","ripisylves_gardon"
205,205,"43.9310 4.5615","ripisylves_gardon"
206,206,"43.9300 4.5604","ripisylves_gardon"
207,207,"43.9350 4.5617","ripisylves_gardon"
208,208,"43.9336 4.5636","ripisylves_gardon"
209,209,"43.9347 4.5629","ripisylves_gardon"
210,210,"43.9328 4.5647","ripisylves_gardon"
211,211,"43.9315 4.5660","ripisylves_gardon"
212,212,"43.9321 4.5674","ripisylves_gardon"
213,213,"43.9331 4.5669","ripisylves_gardon"
214,214,"43.9309 4.5653","ripisylves_gardon"
215,215,"43.9284 4.5702","ripisylves_gardon"
216,216,"43.9287 4.5742","ripisylves_gardon"
217,217,"43.9297 4.5668","ripisylves_gardon"
218,218,"43.9313 4.5668","ripisylves_gardon"
219,219,"43.9295 4.5737","ripisylves_gardon"
220,220,"43.9294 4.5753","ripisylves_gardon"
221,221,"43.9287 4.5782","ripisylves_gardon"
222,222,"43.9287 4.5775","ripisylves_gardon"
223,223,"43.9280 4.5790","ripisylves_gardon"
224,224,"43.9299 4.5759","ripisylves_gardon"
225,225,"43.9295 4.5794","ripisylves_gardon"
226,226,"43.9296 4.5805","ripisylves_gardon"
227,227,"43.9295 4.5815","ripisylves_gardon"
228,228,"43.9298 4.5815","ripisylves_gardon"
229,229,"43.9293 4.5831","ripisylves_gardon"
230,230,"43.9288 4.5841","ripisylves_gardon"
231,231,"43.9285 4.5838","ripisylves_gardon"
232,232,"43.9276 4.5829","ripisylves_gardon"
233,233,"43.9275 4.5831","ripisylves_gardon"
234,234,"43.9223 4.5826","ripisylves_gardon"
235,235,"43.9263 4.5868","ripisylves_gardon"
236,236,"43.9264 4.5873","ripisylves_gardon"
237,237,"43.9279 4.5873","ripisylves_gardon"
238,238,"43.9280 4.5856","ripisylves_gardon"
239,239,"43.9296 4.5846","ripisylves_gardon"
240,240,"43.9310 4.5720","ripisylves_gardon"
241,241,"43.9315 4.5766","ripisylves_gardon"
242,242,"43.9317 4.5803","ripisylves_gardon"
243,243,"43.9351 4.5796","ripisylves_gardon"
244,244,"43.9365 4.5770","ripisylves_gardon"
245,245,"43.9303 4.5670","ripisylves_gardon"
246,246,"43.9293 4.5678","ripisylves_gardon"
247,247,"43.9299 4.5691","ripisylves_gardon"
248,248,"43.9206 4.5833","ripisylves_gardon"
